AWB,HAWB,Flight_Number,ULD_Number,Origin,Destination,Booking_Date,SHC,Weight_kg,Length_cm,Width_cm,Height_cm,Preferred_ULD,Nature_Of_Goods,PCS,Temp_Required,Priority,Courier_Return,Completed,Consignee_Name
176-17698469,HWB178686,SV787,,AMS,JFK,2026-04-26,BIG,4991.68,128,127,729,PMC,Industrial Equipment,66,No,Low,True,True,SKY LOGISTICS
176-19023909,HWB347459,SV897,,AMS,LHR,2026-04-05,AVI,142.06,88,115,315,AKE,Birds,50,No,Low,True,True,WORLD FREIGHT
176-28481124,HWB655178,SV475,,LHR,LHR,2026-04-19,PER,248.81,171,80,296,"RAP,PMC",Milk Products,36,Yes,High,True,True,SKY LOGISTICS
176-45135070,HWB912609,SV366,,AMS,JFK,2026-04-04,DGR,282.99,176,40,654,PMC,Chemicals,79,No,Medium,False,True,GLOBAL FOODS
176-69741812,HWB192055,SV929,,AMS,SYD,2026-04-29,GEN,860.18,244,107,194,"AKE,PMC",Retail Goods,86,No,Medium,True,False,EMIRATES MEDICAL
176-33366099,HWB932250,SV470,,FRA,SIN,2026-04-21,GEN,726.22,188,85,585,"AKE,PMC",General Cargo,26,No,High,True,False,QATAR PHARMA
176-84040798,HWB236074,SV726,,MAA,DXB,2026-04-26,PER,321.61,189,67,195,"RAP,PMC",Frozen Meat,51,Yes,Low,False,False,SEAFOOD EXPRESS
176-19954260,HWB571832,SV577,,AMS,CDG,2026-04-21,AVI,33.28,220,116,229,AKE,Birds,17,No,Low,True,True,SEAFOOD EXPRESS
176-79538491,HWB260448,SV411,,DXB,SIN,2026-04-04,DGR,459.82,223,169,20,PMC,Lithium Batteries,91,No,High,False,False,GLOBAL FOODS
176-26800072,HWB755383,SV410,,FRA,CDG,2026-04-09,GEN,236.49,215,90,496,"AKE,PMC",General Cargo,65,No,Low,True,True,SKY LOGISTICS
176-85647532,HWB143195,SV945,,DOH,DXB,2026-04-11,BIG,3310.16,99,135,2061,PMC,Oversized Machinery,6,No,Low,False,True,SEAFOOD EXPRESS
176-83226170,HWB403742,SV757,,SIN,JFK,2026-04-21,BIG,3375.46,101,178,970,PMC,Oversized Machinery,88,No,Medium,False,False,GLOBAL FOODS
176-72336371,HWB313933,SV448,,FRA,SIN,2026-04-16,COL,117.97,195,40,297,"RAP,RKN",Temperature Goods,92,Yes,Medium,False,False,SKY LOGISTICS
176-42445506,HWB589131,SV225,,SIN,JFK,2026-04-11,EAT,322.32,213,122,168,"PMC,RAP",Packed Food,19,No,High,True,False,SEAFOOD EXPRESS
176-31434525,HWB952993,SV435,,FRA,FRA,2026-04-29,BIG,2381.61,185,44,3571,PMC,Industrial Equipment,25,No,High,False,False,WORLD FREIGHT
176-77839607,HWB579441,SV346,,DXB,CDG,2026-04-13,PER,298.95,88,132,117,"RAP,PMC",Frozen Meat,7,Yes,High,False,False,WORLD FREIGHT
176-27976443,HWB377319,SV844,,SIN,SYD,2026-04-14,PER,314.68,138,101,314,"RAP,PMC",Frozen Meat,47,Yes,High,False,True,FAST CARGO
176-70445541,HWB901535,SV663,,SIN,SYD,2026-04-17,PER,321.29,74,101,172,"RAP,PMC",Milk Products,88,Yes,Low,True,True,GLOBAL FOODS
176-59070856,HWB891638,SV247,,DXB,CDG,2026-04-18,PIL,143.3,205,60,241,"RAP,RKN,ALF",Pharma,52,Yes,Low,True,True,QATAR PHARMA
176-71335966,HWB256175,SV720,,FRA,SIN,2026-04-17,GEN,727.91,81,164,620,"AKE,PMC",Retail Goods,79,No,Medium,True,False,EMIRATES MEDICAL
176-75746104,HWB843167,SV676,,SIN,JFK,2026-04-18,AVI,80.55,77,176,379,AKE,Dogs,48,No,Medium,True,False,EMIRATES MEDICAL
176-73698420,HWB378428,SV771,,DOH,SYD,2026-04-20,MAG,268.02,92,72,312,PMC,Magnetized Equipment,93,No,High,False,True,SEAFOOD EXPRESS
176-24749927,HWB300051,SV119,,LHR,LHR,2026-04-19,GEN,830.58,228,161,86,"AKE,PMC",Retail Goods,20,No,Medium,True,False,WORLD FREIGHT
176-37828932,HWB688132,SV432,,AMS,JFK,2026-04-17,EAT,536.44,200,82,318,"PMC,RAP",Dry Foods,49,No,Medium,True,False,LUXURY EXPORTS
176-96343485,HWB942690,SV809,,SIN,CDG,2026-04-24,VAL,18.36,127,175,20,AKE,Jewelry,25,No,High,False,False,FAST CARGO
176-75632882,HWB432441,SV591,,SIN,CDG,2026-04-23,PER,408.47,215,148,120,"RAP,PMC",Milk Products,36,Yes,Medium,True,False,SEAFOOD EXPRESS
176-15646068,HWB401602,SV831,,MAA,LHR,2026-04-10,PER,481.84,114,178,207,"RAP,PMC",Frozen Meat,84,Yes,Medium,False,True,FAST CARGO
176-28424464,HWB214532,SV730,,AMS,CDG,2026-04-09,VAL,14.29,246,91,20,AKE,Gold,32,No,High,True,True,QATAR PHARMA
176-28450513,HWB105433,SV663,,DXB,JFK,2026-04-04,GEN,442.64,242,119,259,"AKE,PMC",Textiles,61,No,Medium,True,False,LUXURY EXPORTS
176-97550053,HWB702022,SV337,,FRA,FRA,2026-04-03,PER,358.36,162,135,211,"RAP,PMC",Milk Products,5,Yes,High,False,True,QATAR PHARMA
176-48851599,HWB139286,SV109,,SIN,CDG,2026-04-24,PIL,246.99,172,172,32,"RAP,RKN,ALF",Pharma,14,Yes,Medium,False,False,WORLD FREIGHT
176-25119192,HWB446747,SV266,,AMS,JFK,2026-04-07,GEN,858.51,175,70,425,"AKE,PMC",Textiles,33,No,Low,True,True,LUXURY EXPORTS
176-92000924,HWB997734,SV754,,LHR,SYD,2026-04-06,PER,327.11,123,97,337,"RAP,PMC",Frozen Meat,66,Yes,Medium,True,False,GLOBAL FOODS
176-43292316,HWB107161,SV367,,LHR,SIN,2026-04-30,GEN,982.6,76,126,553,"AKE,PMC",Retail Goods,97,No,Medium,False,False,QATAR PHARMA
176-99628735,HWB223967,SV576,,SIN,SIN,2026-04-02,GEN,671.0,65,98,1135,"AKE,PMC",Retail Goods,88,No,Low,False,True,EMIRATES MEDICAL
176-74180488,HWB260626,SV565,,AMS,CDG,2026-04-05,PER,345.85,210,96,93,"RAP,PMC",Frozen Meat,54,Yes,Low,False,True,FAST CARGO
176-80532309,HWB568449,SV640,,AMS,LHR,2026-04-03,COL,326.42,61,58,1023,"RAP,RKN",Cool Cargo,73,Yes,High,True,True,SKY LOGISTICS
176-37568520,HWB851742,SV697,,LHR,DXB,2026-04-04,GEN,361.71,241,55,428,"AKE,PMC",Textiles,58,No,High,False,True,SEAFOOD EXPRESS
176-51361818,HWB858414,SV122,,LHR,LHR,2026-04-22,PIL,190.98,118,57,282,"RAP,RKN,ALF",Medicines,96,Yes,High,True,True,SEAFOOD EXPRESS
176-19263592,HWB595002,SV132,,SIN,JFK,2026-04-02,PER,380.15,68,124,374,"RAP,PMC",Food Items,99,Yes,High,False,False,SEAFOOD EXPRESS
176-20770971,HWB815894,SV777,,DOH,CDG,2026-04-13,PIL,267.41,78,171,207,"RAP,RKN,ALF",Medicines,84,Yes,Medium,True,True,SEAFOOD EXPRESS
176-10466177,HWB892911,SV123,,SIN,JFK,2026-04-27,DGR,107.31,120,111,367,PMC,Lithium Batteries,69,No,Medium,True,True,WORLD FREIGHT
176-25145751,HWB133782,SV928,,AMS,JFK,2026-04-29,PER,162.05,231,164,46,"RAP,PMC",Milk Products,99,Yes,High,True,True,GLOBAL FOODS
176-16533225,HWB356622,SV858,,MAA,JFK,2026-04-22,GEN,614.25,114,178,247,"AKE,PMC",Retail Goods,30,No,Low,True,True,SKY LOGISTICS
176-87324220,HWB434394,SV691,,FRA,SYD,2026-04-30,DGR,497.07,93,161,103,PMC,Lithium Batteries,31,No,Medium,True,True,SEAFOOD EXPRESS
176-33505978,HWB756401,SV795,,LHR,CDG,2026-04-19,PER,210.06,122,161,164,"RAP,PMC",Frozen Meat,7,Yes,Medium,False,False,SEAFOOD EXPRESS
176-82199509,HWB596520,SV346,,DOH,SIN,2026-04-25,PIL,87.3,164,88,99,"RAP,RKN,ALF",Vaccines,91,Yes,High,False,True,SEAFOOD EXPRESS
176-44224936,HWB313214,SV438,,AMS,DXB,2026-04-08,PIL,189.32,84,64,156,"RAP,RKN,ALF",Vaccines,48,Yes,High,True,True,EMIRATES MEDICAL
176-19768947,HWB297303,SV923,,DOH,CDG,2026-04-28,PER,369.47,228,150,99,"RAP,PMC",Milk Products,86,Yes,Low,True,False,FAST CARGO
176-35504548,HWB877493,SV220,,AMS,SYD,2026-04-07,PER,221.28,150,148,209,"RAP,PMC",Frozen Meat,32,Yes,Low,True,False,FAST CARGO
176-81625307,HWB780233,SV467,,SIN,LHR,2026-04-15,VAL,16.76,165,159,20,AKE,Jewelry,66,No,Medium,False,True,WORLD FREIGHT
176-51999682,HWB534037,SV146,,FRA,SYD,2026-04-12,EAT,603.84,246,53,497,"PMC,RAP",Packed Food,95,No,High,True,False,SEAFOOD EXPRESS
176-86475853,HWB973844,SV351,,LHR,CDG,2026-04-13,PER,160.96,232,65,153,"RAP,PMC",Milk Products,88,Yes,Medium,False,False,WORLD FREIGHT
176-28784915,HWB855303,SV659,,LHR,SIN,2026-04-06,PIL,92.06,75,143,232,"RAP,RKN,ALF",Pharma,83,Yes,High,True,True,QATAR PHARMA
176-41062464,HWB171269,SV824,,DXB,DXB,2026-04-21,EAT,103.83,246,126,58,"PMC,RAP",Packed Food,65,No,Medium,False,True,WORLD FREIGHT
176-65208920,HWB112426,SV117,,FRA,FRA,2026-04-18,BIG,2695.34,87,103,576,PMC,Industrial Equipment,69,No,Medium,True,False,SKY LOGISTICS
176-35760684,HWB749887,SV639,,SIN,SYD,2026-04-08,GEN,922.15,109,88,596,"AKE,PMC",Retail Goods,35,No,Medium,True,False,SEAFOOD EXPRESS
176-50261914,HWB817269,SV947,,DOH,DXB,2026-04-08,PIL,191.25,197,154,98,"RAP,RKN,ALF",Pharma,84,Yes,High,True,False,SEAFOOD EXPRESS
176-33002714,HWB186702,SV611,,DOH,JFK,2026-04-01,PER,321.08,95,148,86,"RAP,PMC",Milk Products,43,Yes,Low,True,True,FAST CARGO
176-73820568,HWB384263,SV147,,MAA,FRA,2026-04-19,GEN,906.21,106,111,614,"AKE,PMC",Retail Goods,70,No,Low,True,True,LUXURY EXPORTS
176-63458386,HWB180674,SV406,,DXB,CDG,2026-04-25,GEN,963.4,178,103,342,"AKE,PMC",General Cargo,73,No,Medium,False,False,SKY LOGISTICS
176-17207013,HWB202430,SV547,,DXB,SYD,2026-04-12,COL,317.25,79,153,206,"RAP,RKN",Cool Cargo,44,Yes,Low,False,False,QATAR PHARMA
176-40620216,HWB473095,SV666,,LHR,JFK,2026-04-16,BIG,1729.97,200,65,2293,PMC,Oversized Machinery,88,No,Low,False,True,EMIRATES MEDICAL
176-61002735,HWB846247,SV902,,AMS,SIN,2026-04-05,GEN,727.45,72,178,135,"AKE,PMC",Textiles,50,No,Medium,False,True,GLOBAL FOODS
176-46207439,HWB207197,SV235,,MAA,SIN,2026-04-25,GEN,945.81,63,63,1259,"AKE,PMC",Retail Goods,58,No,Low,False,True,QATAR PHARMA
176-53544301,HWB503951,SV112,,SIN,JFK,2026-04-20,GEN,386.22,120,82,186,"AKE,PMC",Retail Goods,100,No,High,True,True,SEAFOOD EXPRESS
176-29587040,HWB166340,SV271,,LHR,LHR,2026-04-16,GEN,181.9,164,164,137,"AKE,PMC",Retail Goods,39,No,Medium,True,False,EMIRATES MEDICAL
176-36246038,HWB580102,SV209,,DXB,LHR,2026-04-20,GEN,734.85,183,94,317,"AKE,PMC",General Cargo,51,No,Medium,False,False,WORLD FREIGHT
176-89778067,HWB242736,SV407,,SIN,CDG,2026-04-21,PER,272.25,162,55,481,"RAP,PMC",Milk Products,26,Yes,Medium,False,True,SEAFOOD EXPRESS
176-87293208,HWB919959,SV348,,SIN,JFK,2026-04-16,PER,216.58,102,137,270,"RAP,PMC",Frozen Meat,51,Yes,Medium,True,True,SKY LOGISTICS
176-71957885,HWB842776,SV314,,LHR,SYD,2026-04-24,COL,330.29,60,139,129,"RAP,RKN",Temperature Goods,89,Yes,High,False,False,SKY LOGISTICS
176-66791272,HWB927406,SV486,,MAA,JFK,2026-04-05,BIG,1862.75,127,156,571,PMC,Industrial Equipment,75,No,Medium,False,True,LUXURY EXPORTS
176-21406082,HWB214682,SV887,,DXB,FRA,2026-04-21,COL,368.65,133,148,132,"RAP,RKN",Temperature Goods,22,Yes,Low,True,False,LUXURY EXPORTS
176-78541804,HWB883132,SV631,,FRA,CDG,2026-04-08,PIL,76.49,238,164,20,"RAP,RKN,ALF",Pharma,74,Yes,High,False,False,SEAFOOD EXPRESS
176-30232642,HWB461724,SV125,,LHR,DXB,2026-04-17,PIL,243.09,99,88,226,"RAP,RKN,ALF",Vaccines,54,Yes,High,True,True,LUXURY EXPORTS
176-74817230,HWB465219,SV587,,MAA,JFK,2026-04-17,PER,237.23,135,95,322,"RAP,PMC",Milk Products,90,Yes,Medium,False,True,EMIRATES MEDICAL
176-56047142,HWB779445,SV211,,AMS,SYD,2026-04-28,GEN,819.68,74,178,154,"AKE,PMC",General Cargo,95,No,High,True,True,LUXURY EXPORTS
176-64364546,HWB760351,SV288,,DXB,FRA,2026-04-26,VAL,21.89,75,120,31,AKE,Luxury Watches,56,No,Medium,True,True,WORLD FREIGHT
176-37619925,HWB391865,SV870,,AMS,SYD,2026-04-07,AVI,97.32,74,52,265,AKE,Dogs,74,No,High,True,False,LUXURY EXPORTS
176-75697427,HWB653349,SV754,,SIN,CDG,2026-04-28,GEN,484.67,209,162,99,"AKE,PMC",Retail Goods,79,No,Medium,True,False,LUXURY EXPORTS
176-49922369,HWB744333,SV704,,MAA,FRA,2026-04-23,PIL,204.34,188,175,76,"RAP,RKN,ALF",Medicines,41,Yes,High,True,False,GLOBAL FOODS
176-66135102,HWB725397,SV241,,FRA,JFK,2026-04-13,GEN,404.64,100,54,420,"AKE,PMC",Retail Goods,24,No,Medium,True,True,WORLD FREIGHT
176-93135800,HWB156215,SV986,,SIN,DXB,2026-04-15,PER,156.12,190,60,198,"RAP,PMC",Frozen Meat,18,Yes,High,False,False,SEAFOOD EXPRESS
176-75592138,HWB275377,SV184,,FRA,DXB,2026-04-15,COL,247.52,107,57,513,"RAP,RKN",Cool Cargo,38,Yes,High,False,True,EMIRATES MEDICAL
176-76479831,HWB676429,SV623,,MAA,CDG,2026-04-25,GEN,791.7,212,57,503,"AKE,PMC",General Cargo,35,No,Low,False,True,WORLD FREIGHT
176-97734330,HWB887842,SV353,,SIN,SYD,2026-04-24,VAL,11.71,232,100,20,AKE,Gold,58,No,Medium,False,True,WORLD FREIGHT
176-88909809,HWB822608,SV459,,DOH,FRA,2026-04-26,GEN,786.85,163,70,274,"AKE,PMC",Textiles,81,No,Medium,True,True,FAST CARGO
176-47726592,HWB725850,SV651,,DXB,LHR,2026-04-18,GEN,815.17,205,103,290,"AKE,PMC",Textiles,38,No,Medium,False,True,SKY LOGISTICS
176-98032908,HWB233051,SV818,,DOH,SIN,2026-04-09,EAT,571.41,208,50,625,"PMC,RAP",Packed Food,19,No,Low,False,True,SEAFOOD EXPRESS
176-65596350,HWB493396,SV562,,MAA,FRA,2026-04-21,DGR,113.98,218,60,256,PMC,Chemicals,52,No,Low,False,False,WORLD FREIGHT
176-22501261,HWB866437,SV569,,AMS,FRA,2026-04-25,DGR,197.28,167,173,20,PMC,Lithium Batteries,9,No,Low,False,True,SEAFOOD EXPRESS
176-55332729,HWB673896,SV691,,DXB,CDG,2026-04-10,GEN,519.98,140,106,263,"AKE,PMC",Retail Goods,44,No,Low,True,True,GLOBAL FOODS
176-31204188,HWB562721,SV567,,MAA,JFK,2026-04-04,BIG,4027.5,112,120,1226,PMC,Oversized Machinery,89,No,High,False,True,EMIRATES MEDICAL
176-99188862,HWB780432,SV269,,MAA,JFK,2026-04-12,GEN,671.86,121,107,251,"AKE,PMC",Textiles,40,No,Low,True,False,GLOBAL FOODS
176-27810664,HWB722518,SV331,,FRA,FRA,2026-04-03,MAG,73.8,161,73,87,PMC,Magnetized Equipment,2,No,High,False,True,SEAFOOD EXPRESS
